Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio,rank
หลัง (V),after / following,TRUE,Thai::vocab,1504119762421,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a14.mp3],,,,,,,,,,,,,
จาน,plate,TRUE,Thai::vocab,1504119762422,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t260a1.mp3],,,,,,,,,,,,,
ชาม,bowl,TRUE,Thai::vocab,1504119762423,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t260a2.mp3],,,,,,,,,,,,,
ส้อม,fork,TRUE,Thai::vocab,1504119762424,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t260a4.mp3],,,,,,Sôm sounds like some. Use a FORK to get some food.,,,,,,,
ช้อน,spoon,TRUE,Thai::vocab,1504119762425,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t260a5.mp3],,,,,,Chón sounds like shown. The SPOON must be shown at every place setting.,,,,,,,
มีด,knife,TRUE,Thai::vocab,1504119762426,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t260a6.mp3],,,,,,,,,,,,,
ตะเกียบ,chopsticks,TRUE,Thai::vocab,1504119762427,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t260a7.mp3],,,,,,,,,,,,,
กระทะ,frying pan / wok,TRUE,Thai::vocab,1504119762428,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t260a8.mp3],,,,,,,,,,,,,
อาหาร,food,TRUE,Thai::vocab,1504119762429,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a1.mp3],,,,,,,,,,,,,
ผัก,vegetable,TRUE,Thai::vocab,1504119762430,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a2.mp3],,,,,,,,,,,,,
ผลไม้,fruit,TRUE,Thai::vocab,1504119762431,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a3.mp3],,,,,,,,,,,,,
เนื้อ,beef,TRUE,Thai::vocab,1504119762432,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a5.mp3],,,,,,,,,,,,,
กุ้ง,shrimp,TRUE,Thai::vocab,1504119762433,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a7.mp3],,,,,,,,,,,,,
ไข่,egg,TRUE,Thai::vocab,1504119762434,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a9.mp3],,,,,,,,,,,,,
เต้าหู้,tofu,TRUE,Thai::vocab,1504119762435,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a10.mp3],,,,,,,,,,,,,
พริก,chili pepper,TRUE,Thai::vocab,1504119762436,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t261a11.mp3],,,,,,,,,,,,,
